Category ,,,,,,,,,,,
About,,,,,,,,,,,"Based in New Zealand, my background is in painting, and my day job is in art education, with a teaching focus on a foundational approach to linear perspective. While studio drafting can often be a methodical process, photography, like plein air painting, is highly reactive. We’re presented with fleeting windows of changing light and movement, and we must decide what to do with them very quickly. The immediacy is what makes it so exciting to me. 

Because of my formal artistic training, I often compose my photos with painting (and painters) in mind. This comes down to the way I expose, play with colour and tonality, and treat scale and perspective through my experiments of compositing multiple telephoto exposures into a single image.

My inspirations include George Inness, William Trost Richards, John Singer Sargent, Albert Bierstadt and the Hudson River School artists, as well as the large format cinematography of Ron Fricke, and of course, Ansel Adams. 

Peter Henderson"
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_18.webp,Fiordland_18_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_19.webp,Fiordland_19_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_16.webp,Fiordland_16_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_10.webp,Fiordland_10_1.webp,,,-15,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_7.webp,Fiordland_7_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_8.webp,Fiordland_8_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_9.webp,Fiordland_9_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_27.webp,Fiordland_27_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_28.webp,Fiordland_28_1.webp,,,+5,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_15.webp,Fiordland_15_1.webp,,,-20,,"Routeburn Track, Fiordland "
